"ID","NAME","LNG","LAT"
"M1551","黎母山镇+阳江农场","109.756","19.296"
"M1552","红毛镇+新伟农场","109.684","19.039"
"M0307","蓬莱镇+石壁水库","110.610","19.506"
"M1766","多文镇+东江水文站","109.806","19.731"
"M1767","临城镇+临城高速路","109.678","19.840"
"M1176","三都镇+中心学校","109.211","19.789"
"M1327","潭牛镇+文昌橡胶研究所","110.656","19.623"
"M1059","吉阳区+鹿回头","109.497","18.228"
"M1324","文教镇+保平小学","110.901","19.699"
"M1321","冯坡镇+昌里小学","110.759","19.910"
"M0303","文教镇+镇政府","110.903","19.669"
"M0653","昌化镇+咸田村","108.674","19.302"
"M0061","天涯区+加跃村","109.418","18.522"
"M0201","新龙镇+湾溪水库","108.757","18.948"
"M1219","东河镇+大广坝水文站","108.978","19.019"
"M0506","南圣镇+同甲小学","109.652","18.761"
"M0460","保城镇+干哈村","109.754","18.633"
"M0136","嘉积镇+龙阁村","110.443","19.288"
"M0130","博鳌镇+中南村","110.543","19.160"
"M1654","十月田镇+十月田学校","108.951","19.331"
"M1664","石碌镇+邦溪高速路","109.032","19.389"
"M0405","本号镇+小妹水库","109.944","18.682"
"M1209","四更镇+镇政府","108.679","19.226"
"M1553","湾岭镇+大岭水库","109.930","19.192"
"M1457","什玲镇+移动发射台","109.790","18.675"
"M1711","荣邦乡+芙蓉田农场","109.171","19.415"
"M1751","临城镇+临高角","109.711","20.010"
"M1758","南宝镇+镇政府","109.596","19.683"
"M0120","长坡镇+欧村","110.672","19.340"
"M1066","崖州区+大小洞天","109.151","18.305"
"M1408","英州镇+镇政府","109.855","18.430"
"M1865","定城镇+南渡江水文站","110.315","19.705"
"M0556","黎母山镇+新进农场小学","109.854","19.241"
"M0462","响水镇+南春电站","109.589","18.610"
"M1304","铺前镇+文北中学","110.576","20.033"
"M1308","潭牛镇+高山小学","110.735","19.684"
"M1362","大茂镇+大茂镇农场","110.335","18.860"
"M1363","礼纪镇+礼纪中学","110.311","18.745"
"M1028","龙桥镇+高速路","110.358","19.939"
"M1352","东澳镇+东澳中学","110.401","18.722"
"M1031","海口车载移动站","110.375","19.990"
"M1042","粤海铁二号船舶站2","110.150","20.043"
"M1093","天涯区+文门村","109.330","18.376"
"M1462","保城镇新星红毛丹气候站","109.668","18.659"
"M1926","永署礁3","112.881","9.539"
"M1938","华阳礁4","112.856","8.888"
"M1001","西秀镇+南港码头","110.151","20.043"
"M1218","八所镇+华能东方电厂","108.620","19.050"
"M1069","吉阳区+吉阳东线高速","109.621","18.318"
"M0301","潭牛镇+华侨农场","110.749","19.699"
"59843","澄迈","110.000","19.730"
"M1076","天涯区+林科院","109.445","18.320"
"M1705","打安镇+打安村","109.372","19.286"
"59847","昌江","109.050","19.270"
"M0404","本号镇+镇政府","109.959","18.611"
"M0461","毛感乡+乡政府","109.505","18.615"
"M1252","桥头镇+玉苞","109.892","19.988"
"M1416","英州镇+英州高速路","109.848","18.436"
"M1110","万泉镇+石合水库","110.379","19.282"
"M0123","长坡镇+长坡村","110.611","19.340"
"M0127","中原镇+中原村","110.463","19.153"
"M0138","会山镇+中平仔水库","110.277","19.011"
"M1611","抱由镇+抱邱小学","109.159","18.820"
"M1401","本号镇+南平农场","109.912","18.588"
"M1063","天涯区＋立才23队","109.323","18.494"
"M1174","光村镇+养路队","109.486","19.822"
"M1863","黄竹镇+白塘小学","110.413","19.445"
"M1325","文城镇+头苑中学","110.784","19.639"
"M1351","万城镇+乌场港","110.489","18.769"
"M1307","锦山镇+文锦小学","110.680","20.009"
"M1859","翰林镇+翰林中学","110.262","19.337"
"M1860","龙河镇+龙河中学","110.217","19.384"
"M1866","黄竹镇+黄竹高速路","110.443","19.451"
"M0010","国兴街道+琼山区四小","110.348","20.010"
"M1047","三门坡镇+红明农场23队","110.546","19.740"
"M1316","抱罗镇+抱锦小学","110.793","19.859"
"M1656","十月田镇+红田农场","108.996","19.315"
"59845","儋州","109.580","19.520"
"M0469","加茂镇+番房村","109.701","18.513"
"M0463","新政镇+南改村","109.533","18.543"
"M0401","群英乡+乡政府","109.875","18.585"
"M1103","中原镇+九曲江中学","110.476","19.126"
"M1108","会山镇+东太农场","110.216","19.124"
"M1263","瑞溪镇+加巨村","110.124","19.674"
"M0353","三更罗镇+加朝九队","110.142","18.933"
"M1369","万城镇+东星高速路","110.388","18.827"
"M1459","加茂镇+南茂机械厂","109.715","18.557"
"M1763","调楼镇+镇政府","109.543","19.932"
"M1003","新坡镇+太宝猪场","110.359","19.771"
"M1856","富文镇+坡寨中学","110.254","19.483"
"M0108","万泉镇+西河村","110.364","19.186"
"M0454","保城镇+新星农场六区","109.679","18.669"
"M0456","什玲镇+八村","109.735","18.753"
"M0652","王下乡+洪水村","109.168","18.964"
"M1260","福山镇+红光农场","109.913","19.839"
"M1455","南林乡+南林中心学校","109.614","18.411"
"M0121","长坡镇+青葛村","110.673","19.317"
"M1710","元门乡+向民村","109.461","19.136"
"M1004","甲子镇+风圮水库","110.498","19.639"
"M1319","文城镇+南阳小学","110.661","19.581"
"M1912","金银岛","111.258","16.365"
"M1312","龙楼镇+铜鼓岭","111.012","19.687"
"M1058","天涯区＋南岛农场","109.403","18.408"
"M1361","和乐镇+大花角","110.538","18.790"
"M1331","文昌市+七洲列岛4","111.270","19.982"
"M1919","金银岛2","111.258","16.365"
"M1922","赤瓜礁2","114.286","9.714"
"M1932","诸碧礁4","114.061","10.913"
"M0601","志仲镇+保显农场","109.329","18.611"
"M1113","塔洋镇+千秋小学","110.521","19.329"
"M0133","嘉积镇+桥头村","110.490","19.223"
"M1178","南丰镇+松涛水文站","109.562","19.406"
"M1323","文城镇+海文高速路","110.721","19.630"
